"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";3395054364.79175;7280920689.05429;2.14456674525178
"27";"42G7";6872254635.04812;14507715217.9425;2.11105612180811
"27";"43G7";8828653867.86109;17974309137.3873;2.03590597234977
"27";"44G7";4826811557.75054;9632523901.18204;1.99562874703796
"27";"44G8";4841176945.16248;10992417308.1945;2.2706084559001
"27";"45G7";1586501085.71347;3435159977.39295;2.16524275232255
"27";"45G8";5580185756.73504;11942603351.5989;2.14018025066364
"27";"46G8";1666012574.44389;3528546012.40431;2.11795881167471
