"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";386476336.338826;510294192.347261;1.32037629310345
"27";"42G7";1528987478.7453;3074797597.55617;2.01100247078502
"27";"43G7";340834922.714175;564444387.853195;1.6560638310134
"27";"44G7";1083419567.99597;1589934053.97962;1.46751461847839
"27";"44G8";635996588.863709;1262012165.26009;1.9843065
"27";"45G7";329384247.827229;632426952.43744;1.92002792061011
"27";"45G8";711803142.885148;1435642527.17749;2.0169095086577
"27";"46G8";1745254221.94259;3336803823.55432;1.91192995358591
