"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";168772661.361115;197767076.854417;1.17179568811363
"27";"42G7";2533405063.79624;2653510237.44242;1.04740859460753
"27";"43G6";96172607.4464845;167402178.409862;1.74064302564546
"27";"43G7";150177277.439246;271512030.27064;1.80794348452934
"27";"44G7";3443200872.12639;6439204611.81903;1.8701216835608
"27";"44G8";112711774.90823;226993365.023986;2.01392769485534
"27";"45G7";2413522349.07908;4506579429.92843;1.86722092366287
"27";"45G8";1445498293.53848;2625761314.44229;1.81650945295453
"27";"46G8";2739185108.4641;5263585863.36405;1.92158822968901
