"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G7";2681301.31532856;4338787.87709292;1.61816497545008
"27";"43G7";410391.673175565;442210.324555739;1.07753240004595
"27";"44G7";216869800.017229;396729075.716664;1.82934219372705
"27";"44G8";14438373.554761;23391003.4739143;1.62005806160911
"27";"45G7";89130649.2547045;174105056.708649;1.95336910663712
"27";"45G8";1088001776.33122;1798356074.87159;1.65289810549365
"27";"46G8";206723107.70087;339074982.161786;1.64023744579358
