"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";4459634514.61528;7327681216.3958;1.6431125
"27";"42G7";2284459089.06338;3346608313.62611;1.46494560994664
"27";"43G7";3299281133.55713;6130744086.73973;1.85820602687769
"27";"44G7";891063441.908671;1746579888.458;1.96010722279976
"27";"44G8";2212608370.25484;4301953967.17196;1.94429074074074
"27";"45G7";6312462014.39945;11617210730.2119;1.84036128909951
"27";"45G8";9779199138.17093;17545976981.1553;1.79421410007579
"27";"46G8";13498789219.4261;22910042393.3598;1.69719239414376
