"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";2468270817.62684;3840851841.55399;1.55609012354926
"27";"42G7";9343733218.21226;17045831565.6987;1.82430632035534
"27";"43G7";8865219868.98852;14818191108.4576;1.67149730378298
"27";"44G7";8775432002.03968;15307284596.6572;1.74433402174381
"27";"44G8";630889383.257728;1134671959.64988;1.79852758623194
"27";"45G7";9632540063.47901;17926239948.7756;1.86100860527344
"27";"45G8";6250957385.59944;11023376124.7021;1.7634700486196
"27";"46G8";1702894584.13287;3006000566.18935;1.76522997618201
