"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";12476803.8588621;24075645.3795178;1.92963243246123
"27";"42G7";248165978.476509;458367702.739209;1.84702071393157
"27";"43G7";6979459381.26377;12441505059.4715;1.78258864760651
"27";"44G7";11203796211.9171;19698131756.3529;1.7581658380577
"27";"44G8";2880939022.33572;5330385402.71667;1.85022500004011
"27";"45G7";15544951877.2597;22422357929.1973;1.44242054309595
"27";"45G8";8458162542.59023;15295230735.6816;1.80833965517498
"27";"46G8";2769675178.97294;3761303394.22163;1.3580305094175
