"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";60772414.5805223;107249974.536524;1.76478053861789
"27";"42G7";8311109062.46975;14963336547.15;1.80040189999666
"27";"43G7";1662054592.60231;3181142281.63364;1.91398182453975
"27";"44G7";4330936617.56584;8118052962.45588;1.87443356467741
"27";"44G8";2733770699.91075;5104872677.68259;1.86733754877439
"27";"45G7";2125934770.03834;4120953647.0662;1.93841960964394
"27";"45G8";71106763.9329177;133921532.93927;1.88338669251792
"27";"46G8";224694029.067056;411041469.045397;1.82933863775583
