"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";853697.977141384;977761.635669456;1.145325
"27";"42G7";473182703.834232;618718048.326149;1.30756691508932
"27";"43G7";2921457537.33252;4586889465.2468;1.57006884633173
"27";"44G7";5349154201.86472;9408702522.08529;1.75891405762904
"27";"44G8";845231608.37163;1198227318.45731;1.41763193258441
"27";"45G7";3110251519.7699;3866353421.2852;1.24309992189032
"27";"45G8";3706025353.38186;5461952297.40905;1.47380327347865
"27";"46G8";2208789036.84479;3937864445.00847;1.78281600429964
