"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";595271889.716689;1377576698.67283;2.31419746584787
"27";"42G7";1942271929.42392;3966944114.00601;2.04242467489226
"27";"43G7";2572234062.31691;5302035255.92859;2.0612569181021
"27";"44G7";6133617218.4643;13283648989.6894;2.16571209395021
"27";"44G8";3344274673.44318;6479136662.84366;1.93738173311372
"27";"45G7";677304399.412073;1470323176.64338;2.17084545430339
"27";"45G8";1475199822.41463;3120187171.34574;2.11509459527901
"27";"46G8";629450775.890656;1309120560.14948;2.07978226462127
