"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";270615138.23645;572427400.676747;2.11528225807008
"27";"42G7";1077359698.5917;1922392753.47577;1.78435554623834
"27";"43G7";1921725971.3193;3420892908.34611;1.7801148339571
"27";"44G7";1548799290.42528;3017859434.96787;1.94851550722186
"27";"44G8";4198147070.21752;5833287189.03771;1.38949090907753
"27";"45G7";1915089423.06881;2949264702.43433;1.54001409381099
"27";"45G8";3512277794.043;6020212402.00471;1.71404790709189
"27";"46G8";3090374687.88992;4578625951.31557;1.48157631799716
