"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";394573051.438458;709644565.17521;1.7985125
"27";"42G7";627066852.113379;1113909637.10463;1.77638099247388
"27";"43G7";3597108749.47323;7074608077.61523;1.96674845558985
"27";"44G7";3190702064.33611;5402354019.56668;1.69315527135898
"27";"44G8";132653567.611012;249650034.636896;1.88197
"27";"45G7";1117587437.05636;1866656001.20345;1.67025499688872
"27";"45G8";2718067136.70653;5024168836.36718;1.84843441448431
"27";"46G8";2396393461.36874;84857502.3401618;0.0354105048724736
