"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";363263.853321092;609502.256294794;1.67785
"27";"42G7";35472751.7796478;65404497.0492191;1.84379541388566
"27";"43G7";1288836552.01973;2136260491.70845;1.65751079014692
"27";"44G7";1106182708.30036;1531011232.56707;1.38404914584088
"27";"44G8";892786028.682912;1549531173.34231;1.73561315204301
"27";"45G7";2065284814.8118;3151244397.81998;1.52581589484409
"27";"45G8";1751298938.7174;2992390970.85679;1.70866943655452
"27";"46G8";126542645.175371;234693335.029681;1.85465804594513
