"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";14691628412.2806;19104993318.3026;1.3003999816884
"27";"42G7";4073395703.74586;6728376086.3699;1.65178553121725
"27";"43G7";7295887216.89137;11505459785.9555;1.57697884354876
"27";"44G7";7088763257.60332;11548045984.1211;1.62906357067783
"27";"44G8";8911026947.70819;16124155115.1986;1.80946093080165
"27";"45G7";5368016131.67208;7883871106.47199;1.46867500266178
"27";"45G8";6161265372.23345;8936718649.93201;1.45046806297396
"27";"46G8";994162652.751856;1595989200.922;1.60536024613707
