"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";413636424.242586;802757077.220816;1.94073111112193
"27";"42G7";22501439.1127639;45300797.7390561;2.01324002042871
"27";"43G7";15004485566.198;21319942124.831;1.42090457088782
"27";"44G7";2109358560.45624;2928573336.50654;1.38837151322111
"27";"44G8";7606514472.328;9903626185.3963;1.30199268290687
"27";"45G7";4589570353.29377;7790247069.51366;1.69738046698051
"27";"45G8";10118295626.4801;19430301555.2919;1.92031368449463
"27";"46G8";4327896214.44277;6545024741.40987;1.51228782232999
