"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";1989577807.25002;3406740996.34846;1.71229342423016
"27";"42G7";10200667457.4975;17559266262.1286;1.72138405014101
"27";"43G7";7837710157.24069;14397439159.4349;1.83694457572332
"27";"44G7";1848064988.71796;3163174014.17744;1.71161405767002
"27";"44G8";3211243083.86202;6630168646.90838;2.06467354658638
"27";"45G7";2930428640.37795;5288440940.83849;1.80466463778364
"27";"45G8";5025957964.61332;9947834261.23817;1.97929117817513
"27";"46G8";3531544399.149;6700444283.84081;1.8973127692959
