"SD";"ICES";"TotNo";"Biom";"meanW"
"27";"42G6";349957818.85633;648210399.264341;1.85225294117647
"27";"42G7";5828955521.57833;11076002953.7869;1.90016940647161
"27";"43G7";6854873848.96446;11010063084.8054;1.6061656753127
"27";"44G7";2976534028.35311;5313609562.76647;1.78516674499651
"27";"44G8";1091755802.70028;1723852501.34586;1.57897260273973
"27";"45G7";3735784528.31823;6434178879.52224;1.72230995410722
"27";"45G8";9389573807.23692;15344860631.6192;1.63424463629992
"27";"46G8";3403240908.89583;5073563210.22178;1.49080342709793
