node_name,ICES_rect,abundance,biomass,bodymass,year
Gasterosteus,42G6,0.06661053020344766,0.1175529673700636,1.76478053861789,2007
Gasterosteus,42G7,2.455296064483099,4.420519699549693,1.80040189999666,2007
Gasterosteus,43G7,0.5302884478968559,1.0149624510379764,1.91398182453975,2007
Gasterosteus,44G7,1.3146268378432953,2.4641806698791995,1.87443356467741,2007
Gasterosteus,44G8,1.7455979075606305,3.259620517849972,1.86733754877439,2007
Gasterosteus,45G7,0.6820990461448146,1.3221941667665353,1.93841960964394,2007
Gasterosteus,45G8,0.021887051524203067,0.04122178157913811,1.88338669251792,2007
Gasterosteus,46G8,0.07403966637567604,0.13544362242757535,1.82933863775583,2007
Gasterosteus,42G6,0.1849858448888074,0.21676561540276126,1.17179568811363,2008
Gasterosteus,42G7,0.7484271276103353,0.7839090058964918,1.04740859460753,2008
Gasterosteus,43G7,0.047914957617573625,0.0866275354361917,1.80794348452934,2008
Gasterosteus,44G7,1.0451605909501582,1.9545774839391103,1.8701216835608,2008
Gasterosteus,44G8,0.07196998579422714,0.14494234758933944,2.01392769485534,2008
Gasterosteus,45G7,0.7743705570638667,1.4459209068181247,1.86722092366287,2008
Gasterosteus,45G8,0.4449322944673928,0.8082237188247676,1.81650945295453,2008
Gasterosteus,46G8,0.9025978679272219,1.734421439151345,1.92158822968901,2008
Gasterosteus,42G7,7.921191405065298e-4,0.0012817794495512873,1.61816497545008,2009
Gasterosteus,43G7,1.3093791525663613e-4,1.4108984608349637e-4,1.07753240004595,2009
Gasterosteus,44G7,0.06582937701374092,0.12042445695800186,1.82934219372705,2009
Gasterosteus,44G8,0.009219352108277542,0.014935885705827975,1.62005806160911,2009
Gasterosteus,45G7,0.028597270102415022,0.05586102395221485,1.95336910663712,2009
Gasterosteus,45G8,0.33489290778935266,0.5535438528282807,1.65289810549365,2009
Gasterosteus,46G8,0.06811800914276916,0.11172970932887942,1.64023744579358,2009
Gasterosteus,42G6,3.981608767807728e-4,6.680542271066197e-4,1.67785,2010
Gasterosteus,42G7,0.010479480799289786,0.01932201863763334,1.84379541388566,2010
Gasterosteus,43G7,0.4112110022169486,0.6815866732017213,1.65751079014692,2010
Gasterosteus,44G7,0.3357743611374214,0.4647282177275152,1.38404914584088,2010
Gasterosteus,44G8,0.570071741429936,0.9894240120338589,1.73561315204301,2010
Gasterosteus,45G7,0.6626397112716178,1.011066204013133,1.52581589484409,2010
Gasterosteus,45G8,0.5390594084994675,0.9210743357901982,1.70866943655452,2010
Gasterosteus,46G8,0.04169748199354222,0.07733457047497527,1.85465804594513,2010
Gasterosteus,42G6,16.102982987411128,20.940318781958048,1.3003999816884,2011
Gasterosteus,42G7,1.2033763924062302,1.9877197135850229,1.65178553121725,2011
Gasterosteus,43G7,2.3277964066259633,3.670885685337971,1.57697884354876,2011
Gasterosteus,44G7,2.151746665551639,3.505332106177667,1.62906357067783,2011
Gasterosteus,44G8,5.6899688019348655,10.295776244581413,1.80946093080165,2011
Gasterosteus,45G7,1.7223099855681225,2.5295136226386727,1.46867500266178,2011
Gasterosteus,45G8,1.896471238426507,2.7507709636863225,1.45046806297396,2011
Gasterosteus,46G8,0.3275897959484167,0.5258996354557427,1.60536024613707,2011
Gasterosteus,42G6,2.7053858067458747,4.209824134267603,1.55609012354926,2012
Gasterosteus,42G7,2.7603573994538784,5.0357374502633405,1.82430632035534,2012
Gasterosteus,43G7,2.828501365427265,4.727832406058151,1.67149730378298,2012
Gasterosteus,44G7,2.6637236797139305,4.64642383904962,1.74433402174381,2012
Gasterosteus,44G8,0.4028425600409209,0.7245234571418929,1.79852758623194,2012
Gasterosteus,45G7,3.090568197034687,5.751574009865973,1.86100860527344,2012
Gasterosteus,45G8,1.9240789315526197,3.3930555669730462,1.7634700486196,2012
Gasterosteus,46G8,0.5611263788612576,0.9905171043923553,1.76522997618201,2012
Gasterosteus,42G6,9.357086645891437e-4,0.0010716905262705611,1.145325,2013
Gasterosteus,42G7,0.13978924133627205,0.18278378705674567,1.30756691508932,2013
Gasterosteus,43G7,0.9321084818537747,1.4634744887601765,1.57006884633173,2013
Gasterosteus,44G7,1.6236999740453228,2.855948709720226,1.75891405762904,2013
Gasterosteus,44G8,0.539706759980196,0.7651055371795956,1.41763193258441,2013
Gasterosteus,45G7,0.9979137764736068,1.2405065375876148,1.24309992189032,2013
Gasterosteus,45G8,1.140734908650811,1.681218842540934,1.47380327347865,2013
Gasterosteus,46G8,0.7278253189960558,1.297578627040659,1.78281600429964,2013
Gasterosteus,42G6,0.29661184212329345,0.6274177671768862,2.11528225807008,2014
Gasterosteus,42G7,0.31827726096507675,0.5679197958445822,1.78435554623834,2014
Gasterosteus,43G7,0.6131381527115869,1.0914563209069494,1.7801148339571,2014
Gasterosteus,44G7,0.47012766369462394,0.9160510430829583,1.94851550722186,2014
Gasterosteus,44G8,2.6806479203404816,3.724735915750686,1.38949090907753,2014
Gasterosteus,45G7,0.614450023193186,0.9462616956599962,1.54001409381099,2014
Gasterosteus,45G8,1.0810983483660712,1.8530543613773631,1.71404790709189,2014
Gasterosteus,46G8,1.018319497928978,1.508718052286332,1.48157631799716,2014
Gasterosteus,42G6,0.3835765951338952,0.7104808765032136,1.85225294117647,2015
Gasterosteus,42G7,1.722009835823929,3.2721104076758296,1.90016940647161,2015
Gasterosteus,43G7,2.1870884567062436,3.512826408034195,1.6061656753127,2015
Gasterosteus,44G7,0.9035069923572547,1.612910636627987,1.78516674499651,2015
Gasterosteus,44G8,0.6971201515997677,1.1007336201938003,1.57897260273973,2015
